ax,ay,az,gx,gy,gz,label
0.999268,0.017822,0.08105499,-2.59542,0.427481,0.870229,0
1.000977,0.019043,0.08544901,-2.465649,0.236641,0.832061,0
0.488037,-0.571045,-0.724365,194.0992,45.90076,-22.47328,0
0.053711,-1.318359,0.0979,134.9771,-211.7252,45.73283,1
-0.02832,-0.926758,0.475342,-40.9313,-159.4886,-34.83206,0
0.126709,-0.679199,1.574951,51.48092,68.20612,-26.38168,10
-0.035645,-0.728516,1.309326,33.87023,6.732824,-12.15267,1
0.516357,-1.340576,1.349854,-233.5954,-151.229,34.77863,10
1.001221,-0.01416,0.06616199,-2.641221,-0.175573,0.78626,0
0.386475,-0.501465,0.557617,171.4427,75.52672,52.22137,0
0.23877,-0.929443,0.213867,86.56489,125.7023,-26.75573,0
0.811279,-0.293457,0.648926,-154.8168,-16.81679,203.1756,1
-0.614502,-0.633301,1.20752,90.12977,234.4962,-104.9466,1
-0.020508,-1.256348,-0.539795,86.52672,134.3893,-2.80916,1
-0.950439,1.156494,1.999939,109.9847,26.26718,18.13741,10
-0.464355,-1.710205,1.171143,-225.626,21.09924,-87.61832,10
-0.361328,-0.361572,0.307617,-112.4275,-62.53435,-18.20611,0
1.001709,0.018555,0.075439,-2.755725,0.381679,0.9007629,0
-0.127686,-1.040527,0.700439,88.56489,77.06107,-33.0687,1
-0.02124,-1.401611,-0.166504,195.0534,-210.1527,0.725191,1
-0.023193,-0.945557,0.387451,42.56488,32.12977,-4.557252,0
-1.411133,-2.0,1.999939,250.1298,-168.145,176.6641,10
-0.08300799,-0.645996,0.883789,42.84733,80.20612,22.75573,1
-0.147705,-1.248047,-0.320801,111.8702,-118.2748,33.12214,1
1.001709,0.023438,0.076172,-2.748092,0.083969,0.954198,0
1.000488,0.022217,0.073975,-2.671756,0.312977,0.885496,0
-0.236328,-0.331299,0.76416,-100.3359,42.48855,-62.52672,0
0.131104,-1.097412,0.196289,86.25954,0.198473,11.8855,1
1.000488,0.026611,0.063965,-2.870229,0.007634,0.854962,0
0.998535,0.019775,0.077148,-2.923664,0.183206,0.961832,0
-0.367432,-0.9953609,0.689209,83.80916,162.7328,-35.89313,1
-0.438721,-0.565918,0.199219,13.54198,-58.37405,-11.0687,0
0.013184,-0.995117,0.156006,11.1374,4.900764,-8.938931,0
-0.036865,-1.134277,0.192871,3.877863,35.8855,-18.58779,1
0.131104,-1.097412,0.196289,86.25954,0.198473,11.8855,1
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
0.004395,-1.033691,0.305176,107.6183,20.72519,0.06870199,1
0.924805,-0.00708,0.065918,-2.076336,-22.08397,-1.946565,0
-0.565186,-0.509277,1.071045,-250.1374,75.229,-135.7939,1
-0.027588,-1.005127,0.187012,81.38168,-28.01527,59.84733,0
-0.50415,-0.270264,0.090576,-144.1145,24.27481,-95.32061,0
-0.151611,-0.574219,0.649658,-100.5725,101.2748,-35.87023,0
0.998535,0.019775,0.077148,-2.923664,0.183206,0.961832,0
-0.134033,-0.831787,-0.49585,80.06107,-250.1374,12.9313,0
0.159668,-0.621338,0.013916,225.6031,135.9695,37.56488,0
0.999512,0.019775,0.068359,-2.763359,0.312977,1.198473,0
-0.02832,-0.926758,0.475342,-40.9313,-159.4886,-34.83206,0
-0.253662,-0.558106,0.812012,-250.1374,4.0,-91.61069,0
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
1.000488,0.025391,0.072021,-2.916031,0.099237,0.977099,0
1.000244,-0.012451,0.067627,-2.770992,0.122137,0.938931,0
-0.614502,-0.633301,1.20752,90.12977,234.4962,-104.9466,1
1.000488,0.017578,0.07446301,-2.625954,0.206107,0.9312981,0
-0.051514,-0.58667,0.422852,-250.1374,-30.85496,-55.27481,0
-0.082275,-0.970215,0.489258,9.358779,-250.1374,12.81679,1
-0.127686,-1.040527,0.700439,88.56489,77.06107,-33.0687,1
-0.950439,1.156494,1.999939,109.9847,26.26718,18.13741,10
-0.027588,-1.005127,0.187012,81.38168,-28.01527,59.84733,0
-0.008545,-1.589356,-0.032959,138.1298,29.66412,9.885496,10
-0.297852,-1.35791,0.172119,61.57252,-250.1374,32.60305,1
